Month,Day,Hour,PV-1 Solar Power,Turbine-1 Power
1,28,2,0.0,2561.0
1,28,3,0.0,2561.0
1,28,4,0.0,2561.0
1,28,5,0.0,2561.0
1,28,6,0.0,2561.0
1,28,7,0.0,2561.0
1,28,8,0.12067900000000001,2561.0
1,28,9,4.03735,2561.0
1,28,10,6.601818000000001,2561.0
1,28,11,7.108784,2561.0
1,28,12,16.774330999999997,2561.0
1,28,13,16.658614,2561.0
1,28,14,12.006904,2561.0
1,28,15,7.94407,2561.0
1,28,16,2.4352910000000003,2561.0
1,28,17,0.325993,2561.0
1,28,18,0.0,2561.0
1,28,19,0.0,2561.0
1,28,20,0.0,2561.0
1,28,21,0.0,2561.0
1,28,22,0.0,2561.0
1,28,23,0.0,2561.0
1,29,0,0.0,2561.0
1,29,1,0.0,2561.0
1,29,2,0.0,2561.0
1,29,3,0.0,2561.0
1,29,4,0.0,2561.0
1,29,5,0.0,2561.0
1,29,6,0.0,2561.0
1,29,7,0.0,2561.0
1,29,8,0.124158,2561.0
1,29,9,1.145674,2561.0
1,29,10,5.117255,2561.0
1,29,11,0.972225,2561.0
1,29,12,2.958235,2561.0
1,29,13,0.7222999999999999,2561.0
1,29,14,1.061959,2561.0
1,29,15,0.524601,2561.0
1,29,16,1.948338,2561.0
1,29,17,0.242691,2561.0
1,29,18,0.0,2561.0
1,29,19,0.0,2561.0
1,29,20,0.0,2561.0
1,29,21,0.0,2561.0
1,29,22,0.0,2561.0
1,29,23,0.0,2561.0
1,30,0,0.0,2561.0
1,30,1,0.0,2561.0
1,30,2,0.0,2561.0
1,30,3,0.0,2561.0
1,30,4,0.0,2561.0
1,30,5,0.0,2561.0
1,30,6,0.0,2561.0
1,30,7,0.0,2561.0
1,30,8,0.086342,2561.0
1,30,9,1.712477,2561.0
1,30,10,1.853184,2561.0
1,30,11,3.180685,2561.0
1,30,12,4.349145,2561.0
1,30,13,4.048864,2561.0
1,30,14,4.9519459999999995,2561.0
1,30,15,2.446927,2561.0
1,30,16,1.1257940000000002,2561.0
1,30,17,0.111358,2561.0
1,30,18,0.0,2561.0
1,30,19,0.0,2561.0
1,30,20,0.0,2561.0
1,30,21,0.0,2561.0
1,30,22,0.0,2561.0
1,30,23,0.0,2561.0
1,31,0,0.0,2561.0
1,31,1,0.0,2561.0
1,31,2,0.0,2561.0
1,31,3,0.0,2561.0
1,31,4,0.0,2561.0
1,31,5,0.0,2561.0
1,31,6,0.0,2561.0
1,31,7,0.0,2561.0
1,31,8,1.8856659999999998,2561.0
1,31,9,7.895606,2561.0
1,31,10,12.387173,2561.0
1,31,11,15.308403,2561.0
1,31,12,16.854551,2561.0
1,31,13,16.732377,2561.0
1,31,14,15.229916,2561.0
1,31,15,12.230754000000001,2561.0
1,31,16,7.477876,2561.0
1,31,17,1.775179,2561.0
1,31,18,0.0,2561.0
1,31,19,0.0,2561.0
1,31,20,0.0,2561.0
1,31,21,0.0,2561.0
1,31,22,0.0,2561.0
1,31,23,0.0,2561.0
2,1,0,0.0,2561.0
2,1,1,0.0,2561.0
2,1,2,0.0,2561.0
2,1,3,0.0,2561.0
2,1,4,0.0,2561.0
2,1,5,0.0,2561.0
2,1,6,0.0,2561.0
2,1,7,0.0,2561.0
2,1,8,0.450901,2561.0
2,1,9,2.54565,2561.0
2,1,10,6.961715,2561.0
2,1,11,2.992878,2561.0
2,1,12,11.092426,2561.0
2,1,13,14.506064,2561.0
2,1,14,13.425345,2561.0
2,1,15,11.039241,2561.0
2,1,16,7.178915,2561.0
2,1,17,2.131991,2561.0
2,1,18,0.0,2561.0
2,1,19,0.0,2561.0
2,1,20,0.0,2561.0
2,1,21,0.0,2561.0
2,1,22,0.0,2561.0
2,1,23,0.0,2561.0
2,2,0,0.0,2561.0
2,2,1,0.0,2561.0
2,2,2,0.0,2561.0
2,2,3,0.0,2561.0
2,2,4,0.0,2561.0
2,2,5,0.0,2561.0
2,2,6,0.0,2561.0
2,2,7,0.0,2561.0
2,2,8,0.075242,2561.0
2,2,9,0.677119,2561.0
2,2,10,1.784299,2561.0
2,2,11,0.04335,2561.0
2,2,12,0.107682,2561.0
2,2,13,2.03283,2561.0
2,2,14,0.36128,2561.0
2,2,15,0.009606,2561.0
2,2,16,5.662876,2561.0
2,2,17,1.4031369999999999,2561.0
2,2,18,0.0,2561.0
2,2,19,0.0,2561.0
2,2,20,0.0,2561.0
2,2,21,0.0,2561.0
2,2,22,0.0,2561.0
2,2,23,0.0,2561.0
2,3,0,0.0,2561.0
2,3,1,0.0,2561.0
2,3,2,0.0,2561.0
2,3,3,0.0,2561.0
2,3,4,0.0,2561.0
2,3,5,0.0,2561.0
2,3,6,0.0,2561.0
2,3,7,0.0,2561.0
2,3,8,1.8132940000000002,2561.0
2,3,9,6.8343739999999995,2561.0
2,3,10,2.168835,2561.0
2,3,11,0.647861,2561.0
2,3,12,0.964398,2561.0
2,3,13,0.612859,2561.0
2,3,14,0.868311,2561.0
2,3,15,0.499905,2561.0
2,3,16,0.25442,2561.0
2,3,17,-0.0,2561.0
2,3,18,0.0,2561.0
2,3,19,0.0,2561.0
2,3,20,0.0,2561.0
2,3,21,0.0,2561.0
2,3,22,0.0,2561.0
2,3,23,0.0,2561.0
2,4,0,0.0,2561.0
2,4,1,0.0,2561.0
2,4,2,0.0,2561.0
2,4,3,0.0,2561.0
2,4,4,0.0,2561.0
2,4,5,0.0,2561.0
2,4,6,0.0,2561.0
2,4,7,0.0,2561.0
2,4,8,1.1086420000000001,2561.0
2,4,9,4.498243,2561.0
2,4,10,9.207554,2561.0
2,4,11,10.47694,2561.0
2,4,12,16.08182,2561.0
2,4,13,15.986397,2561.0
2,4,14,14.746486999999998,2561.0
2,4,15,12.152588,2561.0
2,4,16,7.839936,2561.0
2,4,17,2.451602,2561.0
2,4,18,0.0,2561.0
2,4,19,0.0,2561.0
2,4,20,0.0,2561.0
2,4,21,0.0,2561.0
2,4,22,0.0,2561.0
2,4,23,0.0,2561.0
2,5,0,0.0,2561.0
2,5,1,0.0,2561.0
2,5,2,0.0,2561.0
2,5,3,0.0,2561.0
2,5,4,0.0,2561.0
2,5,5,0.0,2561.0
2,5,6,0.0,2561.0
2,5,7,0.0,2561.0
2,5,8,2.147514,2561.0
2,5,9,7.468975,2561.0
2,5,10,3.6950410000000002,2561.0
2,5,11,4.739762,2561.0
2,5,12,3.6616489999999997,2561.0
2,5,13,3.521642,2561.0
2,5,14,2.1724859999999997,2561.0
2,5,15,3.83269,2561.0
2,5,16,2.064223,2561.0
2,5,17,0.450022,2561.0
2,5,18,0.0,2561.0
2,5,19,0.0,2561.0
2,5,20,0.0,2561.0
2,5,21,0.0,2561.0
2,5,22,0.0,2561.0
2,5,23,0.0,2561.0
2,6,0,0.0,2561.0
2,6,1,0.0,2561.0
2,6,2,0.0,2561.0
2,6,3,0.0,2561.0
2,6,4,0.0,2561.0
2,6,5,0.0,2561.0
2,6,6,0.0,2561.0
2,6,7,0.0,2561.0
2,6,8,1.9070740000000002,2561.0
2,6,9,7.1080950000000005,2561.0
2,6,10,11.485245,2561.0
2,6,11,14.130725,2561.0
2,6,12,15.472957000000001,2561.0
2,6,13,15.432057,2561.0
2,6,14,14.065256,2561.0
2,6,15,11.410461999999999,2561.0
2,6,16,7.383414,2561.0
2,6,17,2.337056,2561.0
2,6,18,0.0,2561.0
2,6,19,0.0,2561.0
2,6,20,0.0,2561.0
2,6,21,0.0,2561.0
2,6,22,0.0,2561.0
2,6,23,0.0,2561.0
2,7,0,0.0,2561.0
2,7,1,0.0,2561.0
2,7,2,0.0,2561.0
2,7,3,0.0,2561.0
2,7,4,0.0,2561.0
2,7,5,0.0,2561.0
2,7,6,0.0,2561.0
2,7,7,0.0,2561.0
2,7,8,1.8001369999999999,2561.0
2,7,9,6.39148,2561.0
2,7,10,8.738652,2561.0
2,7,11,9.647896000000001,2561.0
2,7,12,8.843011,2561.0
2,7,13,15.125587,2561.0
2,7,14,11.092384,2561.0
2,7,15,11.369118,2561.0
2,7,16,7.509869,2561.0
2,7,17,2.448998,2561.0
2,7,18,0.0,2561.0
2,7,19,0.0,2561.0
2,7,20,0.0,2561.0
2,7,21,0.0,2561.0
2,7,22,0.0,2561.0
2,7,23,0.0,2561.0
2,8,0,0.0,2561.0
2,8,1,0.0,2561.0
2,8,2,0.0,2561.0
2,8,3,0.0,2561.0
2,8,4,0.0,2561.0
2,8,5,0.0,2561.0
2,8,6,0.0,2561.0
2,8,7,0.0,2561.0
2,8,8,1.873488,2561.0
2,8,9,6.922561,2561.0
2,8,10,1.04874,2561.0
2,8,11,1.4065640000000001,2561.0
2,8,12,3.481495,2561.0
2,8,13,3.615702,2561.0
2,8,14,3.613252,2561.0
2,8,15,1.6174600000000001,2561.0
2,8,16,0.947192,2561.0
2,8,17,0.226668,2561.0
2,8,18,0.0,2561.0
2,8,19,0.0,2561.0
